Phase, Experiment Index, Participant Index, Trial Visual Frequency, Trial Haptic Frequency, Trial Amplitude, Participant Class, Response Time,Class Error
3,0,0,68,-110,2,0,17.19446,0
3,0,0,68,-110,2,0,2.89241,0
3,0,0,68,-110,2,0,2.773376,0
